,Sentiment,Tweet,URL,Time,Sentiment Scores
49,Neutral,1107 In this SalSidNaaz conversation Salman sir represents whole SidNaaz fandom He asked that questions joh hum sab l,https://twitter.com/statuses/1245097411506139136,2020-03-31 21:15:30,"Sentiment(polarity=0.2, subjectivity=0.4)"
50,Neutral,Italy mein same aisa hi kuch bolke failaya gaya tha virus chinese ne We r not fools SALMAN,https://twitter.com/statuses/1245097365180211202,2020-03-31 21:15:19,"Sentiment(polarity=0.0, subjectivity=0.0625)"
51,Negative,I Think SALMAN KHAN is the worst Actor in Bollywood Right Now,https://twitter.com/statuses/1245097348792893440,2020-03-31 21:15:15,"Sentiment(polarity=-0.35714285714285715, subjectivity=0.7678571428571428)"
52,Neutral,com Salman Khan s 38 year old nephew passes away after complaining of breathlessness media reports suggest coronavirus as pos,https://twitter.com/statuses/1245097080705527809,2020-03-31 21:14:11,"Sentiment(polarity=0.1, subjectivity=0.2)"
53,Neutral,krishnan Salman ji their press note says they stopped after Janata Curfew ann,https://twitter.com/statuses/1245096903785639937,2020-03-31 21:13:29,"Sentiment(polarity=0.0, subjectivity=0.0)"
54,Neutral,Here s your daily dose of Quran,https://twitter.com/statuses/1245096855211474944,2020-03-31 21:13:17,"Sentiment(polarity=0.0, subjectivity=0.0)"
55,Negative,DaKenyan It doesn t matter how old you are your age belongs to the previous generation In this generation if you are wrong you,https://twitter.com/statuses/1245096818138021888,2020-03-31 21:13:08,"Sentiment(polarity=-0.18888888888888888, subjectivity=0.4222222222222222)"
56,Positive,An interesting photo I just came across,https://twitter.com/statuses/1245096773045104640,2020-03-31 21:12:58,"Sentiment(polarity=0.5, subjectivity=0.5)"
57,Neutral,Yes when Salman and Vladimir meet up all they talk about is their hatred of the Oilers and the F,https://twitter.com/statuses/1245096722121949184,2020-03-31 21:12:45,"Sentiment(polarity=0.0, subjectivity=0.0)"
58,Negative,Not convincing at all In fact terrible EU Hungary,https://twitter.com/statuses/1245096701821665280,2020-03-31 21:12:41,"Sentiment(polarity=-0.625, subjectivity=1.0)"
59,Neutral,Mohammer Bin Salman amp Mohammed bin Zayed are two giants the leftists fear,https://twitter.com/statuses/1245096249562406914,2020-03-31 21:10:53,"Sentiment(polarity=0.0, subjectivity=0.0)"
60,Positive,With strong resolve amp unmatched willpower they stand strong to safeguard society Join us in saluting our front line h,https://twitter.com/statuses/1245096222244864000,2020-03-31 21:10:46,"Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333)"
61,Negative,Exiled Pakistani journalist goes missing in Sweden,https://twitter.com/statuses/1245096176627695616,2020-03-31 21:10:35,"Sentiment(polarity=-0.2, subjectivity=0.05)"
62,Neutral,King Salman Please help my mother abdurrahman0104,https://twitter.com/statuses/1245096065419759616,2020-03-31 21:10:09,"Sentiment(polarity=0.0, subjectivity=0.0)"
63,Neutral,Muhd Guys come out Who said it s only for the ladies My wife and i norushchallenge,https://twitter.com/statuses/1245095922758975489,2020-03-31 21:09:35,"Sentiment(polarity=0.0, subjectivity=1.0)"
64,Neutral,Tamil newspapers and media sites mark Mullivaikkal remembrance on today s front pages and posts Tamil Mullivaikkal M,https://twitter.com/statuses/1245095879633014784,2020-03-31 21:09:25,"Sentiment(polarity=0.0, subjectivity=0.0)"
65,Positive,It s quite striking that the first four doctors to die from coronavirus were all Muslims from immigrant backgrounds Refle,https://twitter.com/statuses/1245095803594649609,2020-03-31 21:09:06,"Sentiment(polarity=0.375, subjectivity=0.6666666666666666)"
